epoch,loss_train,res_train,kld_train,pred_train,loss_valid,res_valid,kld_valid,pred_valid
0,1199.5168268818359,3.83626783543396,1.49437066349411,1195.6730902060547,145.59993276872993,2.636315596924326,0.40465785326420967,142.9615957168654
1,56.20478612359619,1.9244255079574586,0.2966804718065262,54.27887740484619,8.350633383870708,1.6176657207638365,0.24868123708794207,6.731724274092358
2,5.851788360961914,1.6046186769485473,0.40496336571121216,4.245144895568847,1.707563461098352,1.5975504514482632,0.5443004809273787,0.10729150856542743
3,4.072931453544617,1.5797053704605102,0.5133521132011414,2.4906593630981444,3.2590672674070174,1.5532808980661739,0.4807317608196234,1.703382724035428
4,2.402882709083557,1.4891819803695678,0.45719327868652343,0.9114147774705886,1.5496753372453749,1.4008021702540834,0.5534070378804479,0.14610616502326232
5,1.6456012902069093,1.3599998740234376,0.6254847955093383,0.28247399882769586,1.6563785731656322,1.270041184767619,0.6316796538608109,0.3831789946614432
6,1.3757958541488648,1.2272180458831787,0.6503081535720825,0.145326266348958,1.6698213215325435,1.2670241800762507,0.7348451417616491,0.3991228933104878
7,1.212745752052307,1.0804978748703002,0.7021605092163086,0.12873706878376007,0.9845396254229896,0.9606907076781181,0.6708011532957753,0.020494915511927052
8,1.0049493867874146,0.9146498402786255,0.7500869170036316,0.08654911140739918,1.1198510123543794,0.8876887714493333,0.7935748190008602,0.22819436805088797
9,0.8424361899490357,0.7487634750595092,0.8997913692016601,0.0891737559337616,0.6011505706625312,0.5480311361728252,0.9904004878904458,0.048167445971516565
10,0.6292533992710113,0.562060335823059,1.0033779182662963,0.06217616955780983,0.6346170795450008,0.5669257557606036,1.0708403454791469,0.062337122830831204
11,0.5206958304519653,0.4381940253353119,1.1243824152908326,0.07687989445018768,0.3904915576093932,0.35007168845679204,1.243849309490322,0.034200626211590326
12,0.4340225897483826,0.34702628238105776,1.2608559844436646,0.08069202782428264,0.5509784520975334,0.4852973966186237,1.3571177613754646,0.05889546139934518
13,0.3665420459537506,0.2841896054611206,1.3218217625045776,0.0757433328576088,0.23488038733480027,0.19473437745069408,1.3138283760434846,0.03357687014351078
14,0.30539355800628665,0.2352563463859558,1.3035150328903198,0.0636196359500885,0.3959121270553128,0.29290800894843033,1.35853119451109,0.096211462278545
